Unique_ID,TA
1,2355.024011
2,2110.142835
3,2349.333907
4,1988.094613
5,2358.61106
6,1787.827734
7,2347.508751
8,1684.284549
9,2299.69368
10,2251.116619
11,2334.657015
12,2070.352983
13,1685.553636
14,2360.643619
15,2347.21718
16,2380.668664
17,2105.26881
18,2316.63582
19,1887.184583
20,1732.58439
21,1932.70642
22,2368.202767
23,2364.131443
24,2290.835903
25,2308.841645
26,2216.142775
27,2044.095494
28,2296.578253
29,2359.956919
30,2375.177075
31,2568.87961
32,2044.822297
33,1764.458646
34,2187.961287
35,2342.719615
36,1939.416331
37,1990.601588
38,2191.549152
39,2710.50136
40,2614.811517
41,2188.505532
42,2109.318994
43,2380.540179
44,2272.124067
45,2157.188347
46,2780.855753
47,2671.70811
48,2373.25446
49,2717.611169
50,2698.178241
51,2364.497603
52,2720.151388
53,2645.398107
54,2711.891611
55,1974.343181
56,2758.285057
57,1972.179353
58,2359.01086
59,2702.739293
60,2757.959364
61,2147.034785
62,2680.899298
63,2271.661337
64,2703.048528
65,2665.486328
66,2431.030754
67,2663.443049
68,2678.299496
69,1649.761678
70,2651.253325
71,2554.759637
72,2691.650689